year,class,round,session,pos,rider_id,number,team,maker,points,result
2010,MotoGP,6,RAC,13,loris-capirossi,65,Rizla Suzuki MotoGP,スズキ,3,FIN
2010,MotoGP,6,RAC,14,alvaro-bautista,19,Rizla Suzuki MotoGP,スズキ,2,FIN
2010,MotoGP,6,RAC,15,kousuke-akiyoshi,64,Interwetten Honda MotoGP,ホンダ,1,FIN
2010,MotoGP,7,RAC,1,jorge-lorenzo,99,Fiat Yamaha Team,ヤマハ,25,FIN
2010,MotoGP,7,RAC,2,dani-pedrosa,26,Repsol Honda Team,ホンダ,20,FIN
2010,MotoGP,7,RAC,3,casey-stoner,27,Ducati Team,ドゥカティ,16,FIN
2010,MotoGP,7,RAC,4,randy-de-puniet,14,LCR Honda MotoGP,ホンダ,13,FIN
2010,MotoGP,7,RAC,5,alvaro-bautista,19,Rizla Suzuki MotoGP,スズキ,11,FIN
2010,MotoGP,7,RAC,6,ben-spies,11,Monster Yamaha Tech 3,ヤマハ,10,FIN
2010,MotoGP,7,RAC,7,loris-capirossi,65,Rizla Suzuki MotoGP,スズキ,9,FIN
2010,MotoGP,7,RAC,8,nicky-hayden,69,Ducati Team,ドゥカティ,8,FIN
2010,MotoGP,7,RAC,9,marco-melandri,33,San Carlo Honda Gresini,ホンダ,7,FIN
2010,MotoGP,7,RAC,10,hector-barbera,40,Paginas Amarillas Aspar,ドゥカティ,6,FIN
2010,MotoGP,7,RAC,11,colin-edwards,5,Monster Yamaha Tech 3,ヤマハ,5,FIN
2010,MotoGP,7,RAC,12,mika-kallio,36,Pramac Racing Team,ドゥカティ,4,FIN
2010,MotoGP,7,RAC,13,kousuke-akiyoshi,64,Interwetten Honda MotoGP,ホンダ,3,FIN
2010,MotoGP,7,RAC,14,andrea-dovizioso,4,Repsol Honda Team,ホンダ,2,FIN
2010,MotoGP,7,RAC,15,wataru-yoshikawa,8,Fiat Yamaha Team,ヤマハ,1,FIN
2010,MotoGP,7,RAC,,marco-simoncelli,58,San Carlo Honda Gresini,ホンダ,,DNF
2010,MotoGP,7,RAC,,aleix-espargaro,41,Pramac Racing Team,ドゥカティ,,DNF
2010,MotoGP,8,RAC,1,dani-pedrosa,26,Repsol Honda Team,ホンダ,25,FIN
2010,MotoGP,8,RAC,2,jorge-lorenzo,99,Fiat Yamaha Team,ヤマハ,20,FIN
2010,MotoGP,8,RAC,3,casey-stoner,27,Ducati Team,ドゥカティ,16,FIN
2010,MotoGP,8,RAC,4,valentino-rossi,46,Fiat Yamaha Team,ヤマハ,13,FIN
2010,MotoGP,8,RAC,5,andrea-dovizioso,4,Repsol Honda Team,ホンダ,11,FIN
2010,MotoGP,8,RAC,6,marco-simoncelli,58,San Carlo Honda Gresini,ホンダ,10,FIN
2010,MotoGP,8,RAC,7,nicky-hayden,69,Ducati Team,ドゥカティ,9,FIN
2010,MotoGP,8,RAC,8,ben-spies,11,Monster Yamaha Tech 3,ヤマハ,8,FIN
2010,MotoGP,8,RAC,9,hector-barbera,40,Paginas Amarillas Aspar,ドゥカティ,7,FIN
2010,MotoGP,8,RAC,10,marco-melandri,33,San Carlo Honda Gresini,ホンダ,6,FIN
2010,MotoGP,8,RAC,11,loris-capirossi,65,Rizla Suzuki MotoGP,スズキ,5,FIN
