year,class,rider_id,team_id,entry_name,maker,machine,number,rank,points,status
2004,MotoGP,jeremy-mcwilliams,aprilia-racing,MS Aprilia Racing,アプリリア,RS Cube,,19,26,確認済
2004,MotoGP,shane-byrne,aprilia-racing,MS Aprilia Racing,アプリリア,RS Cube,,20,18,確認済
2004,MotoGP,nobuatsu-aoki,team-kr,Proton Team KR,プロトンKR,KR5（自社製V5）,,21,10,確認済
2004,MotoGP,michel-fabrizio,wcm,WCM,WCM,ハリスWCM（ヤマハR1ベースエンジン）,,22,8,確認済
2004,MotoGP,yukio-kagayama,suzuki-factory,Team Suzuki MotoGP,スズキ,GSV-R,,23,7,確認済
2004,MotoGP,olivier-jacque,moriwaki,Moriwaki Racing,モリワキ,,,24,5,確認済
2004,MotoGP,james-haydon,team-kr,Proton Team KR,プロトンKR,KR5（自社製V5）,,25,4,確認済
2004,MotoGP,james-ellison,wcm,WCM,WCM,ハリスWCM（ヤマハR1ベースエンジン）,,26,3,確認済
2004,MotoGP,andrew-pitt,moriwaki,Moriwaki Racing,モリワキ,,,27,2,確認済
2004,MotoGP,youichi-ui,wcm,WCM,WCM,ハリスWCM（ヤマハR1ベースエンジン）,,28,1,確認済
2004,MotoGP,kurtis-roberts,team-kr,Proton Team KR,プロトンKR,KR5（自社製V5）,,29,1,確認済
2004,MotoGP,tohru-ukawa,honda-hrc,HRC,ホンダ,RC211V,,30,0,確認済
2004,MotoGP,garry-mccoy,aprilia-racing,MS Aprilia Racing,アプリリア,RS Cube,,31,0,確認済
2004,MotoGP,chris-burns,wcm,WCM,WCM,ハリスWCM（ヤマハR1ベースエンジン）,,32,0,確認済
2004,MotoGP,jose-david-de-gea,wcm,WCM,WCM,ハリスWCM（ヤマハR1ベースエンジン）,,33,0,確認済
2004,MotoGP,gregorio-lavilla,suzuki-factory,Team Suzuki MotoGP,スズキ,GSV-R,,34,0,確認済
2005,MotoGP,valentino-rossi,yamaha-factory,Gauloises Yamaha Team,ヤマハ,YZR-M1,,1,367,確認済
2005,MotoGP,marco-melandri,gresini,Honda Gresini,ホンダ,RC211V,,2,220,確認済
2005,MotoGP,nicky-hayden,honda-hrc,Repsol Honda Team,ホンダ,RC211V,,3,206,確認済
2005,MotoGP,colin-edwards,yamaha-factory,Gauloises Yamaha Team,ヤマハ,YZR-M1,,4,179,確認済
2005,MotoGP,max-biaggi,honda-hrc,Repsol Honda Team,ホンダ,RC211V,,5,173,確認済
2005,MotoGP,loris-capirossi,ducati-lenovo,Ducati Marlboro Team,ドゥカティ,デスモセディチ,,6,157,確認済
